pdb_id,chain_id_1,chain_id_2,cluster_key_chain_1,cluster_key_chain_2,interface_cluster_key
7fci,A,B,5581,5964,5581|5964
7fci,A,C,5581,17640,17640|5581
7mnl,A,C,8677,17640,17640|8677
7n0a,A,B,33602,5964,33602|5964
7n0a,A,C,33602,17640,17640|33602
7ox1,A,G,17640,41184,17640|41184
7ox1,B,G,5964,41184,41184|5964
7ox2,A,C,17640,41184,17640|41184
7ox2,B,C,5964,41184,41184|5964
7ox3,A,C,5964,41184,41184|5964
7ox3,B,C,17640,41184,17640|41184
7ox4,A,C,17640,41184,17640|41184
7ox4,B,C,5964,41184,41184|5964
7q6c,A,B,15496,17640,15496|17640
7q6c,A,D,15496,5964,15496|5964
7r58,A,B,30790,17640,17640|30790
7r58,A,C,30790,5964,30790|5964
7ru6,A,B,7068,17640,17640|7068
7sbd,A,C,17640,20692,17640|20692
7sbd,B,C,5964,20692,20692|5964
7sbg,A,C,17640,20692,17640|20692
7sbg,B,C,5964,20692,20692|5964
7sjo,A,F,7390,17640,17640|7390
7sjo,A,I,7390,5964,5964|7390
7sjo,B,G,7390,17640,17640|7390
7sjo,B,H,7390,5964,5964|7390
7sjo,C,D,7390,17640,17640|7390
7sjo,C,E,7390,5964,5964|7390
7sk3,A,C,45640,5964,45640|5964
7sk3,A,D,45640,17640,17640|45640
7sk3,A,E,45640,5964,45640|5964
7sk3,A,F,45640,17640,17640|45640
7sk4,A,C,45640,5964,45640|5964
7sk4,A,D,45640,17640,17640|45640
7sk4,A,E,45640,5964,45640|5964
7sk4,A,F,45640,17640,17640|45640
7sk5,A,B,45640,17640,17640|45640
7sk5,A,D,45640,5964,45640|5964
7sk6,A,C,45640,5964,45640|5964
7sk6,A,D,45640,17640,17640|45640
7sk7,A,C,45640,5964,45640|5964
7sk7,A,D,45640,17640,17640|45640
7sk8,A,C,45640,5964,45640|5964
7sk8,A,D,45640,17640,17640|45640
7sk8,A,E,45640,5964,45640|5964
7sk8,A,F,45640,17640,17640|45640
7sk9,A,B,45640,17640,17640|45640
7sk9,A,C,45640,5964,45640|5964
