name,molecule_path,refcode
ACETAC,ACETAC03_mol.xyz,ACETAC
AXOSOW,AXOSOW01_mol.xyz,AXOSOW01
BOQQUT,BOQQUT_mol.xyz,BOQQUT
BOQWIN,BOQWIN_mol.xyz,BOQWIN
CAPRYL,CAPRYL_mol.xyz,CAPRYL
CEBYUD,CEBYUD_mol.xyz,CEBYUD
CILJIQ,CILJIQ_mol.xyz,"CILJIQ,CILJIQ01"
CUMJOJ,CUMJOJ_mol.xyz,CUMJOJ
DEZDUH,DEZDUH_mol.xyz,DEZDUH
DOHFEM,DOHFEM_mol.xyz,DOHFEM
GACGAU,GACGAU_mol.xyz,GACGAU
GLYCIN,GLYCIN20_mol.xyz,"GLYCIN20,GLYCIN32,GLYCIN68,GLYCIN16,GLYCIN67"
GOLHIB,GOLHIB_mol.xyz,GOLHIB
GUFJOG,GUFJOG_mol.xyz,GUFJOG
HURYUQ,HURYUQ_mol.xyz,HURYUQ
IHEPUG,IHEPUG_mol.xyz,"IHEPUG02,IHEPUG"
IMAZOL,IMAZOL06_mol.xyz,"IMAZOL06,IMAZOL25"
LECZOL,LECZOL_mol.xyz,LECZOL
NACJAF,NACJAF_mol.xyz,NACJAF
NICOAM,NICOAM03_mol.xyz,"NICOAM03,NICOAM17"
OBEQOD,OBEQOD_mol.xyz,OBEQOD
OBEQUJ,OBEQUJ_mol.xyz,OBEQUJ
PAHYON,PAHYON01_mol.xyz,PAHYON01
ROHBUL,ROHBUL_mol.xyz,ROHBUL
SOXLEX,SOXLEX01_mol.xyz,SOXLEX01
UMIMIO,UMIMIO_mol.xyz,UMIMIO
WEXREY,WEXREY_mol.xyz,WEXREY
XULDUD,XULDUD_mol.xyz,"XULDUD01,XULDUD"
